Bin	Content	X	Y	Depth	Mode
2	0	194	99	86	GRID
3	0	184	93	92	GRID
100001	11	150	117	88	GRID
100002	10	41	93	4762	GRID
100003	11	26	114	82	GRID
100004	11	148	91	92	GRID
100005	11	131	93	90	GRID
100006	11	158	104	92	GRID
100007	11	159	101	90	GRID
100008	11	179	120	90	GRID
100009	11	156	98	90	GRID
100010	11	145	97	92	GRID
100011	11	157	105	92	GRID
100012	11	201	99	420	GRID
100013	11	152	93	92	GRID
100014	11	156	95	90	GRID
100015	11	159	95	422	GRID
100016	11	161	97	92	GRID
100017	11	169	93	92	GRID
100018	11	161	102	92	GRID
100019	11	161	96	92	GRID
100020	10	57	95	416	GRID
100021	11	122	93	422	GRID
100022	11	167	92	88	GRID
100023	10	57	93	750	GRID
100024	11	137	95	90	GRID
100025	10	82	101	92	GRID
100026	10	173	102	752	GRID
100027	10	183	115	424	GRID
100028	10	40	98	82	GRID
100029	10	57	96	84	GRID
100030	11	164	96	422	GRID
100031	10	85	92	422	GRID
100032	10	88	121	94	GRID
100033	10	45	116	84	GRID
100034	10	83	121	424	GRID
100035	10	84	121	428	GRID
100036	10	139	118	92	GRID
100037	11	155	92	90	GRID
100038	10	44	113	416	GRID
100039	10	84	120	94	GRID
100040	10	85	121	422	GRID
100041	10	119	122	90	GRID
100042	10	58	115	418	GRID
100043	10	92	121	424	GRID
100044	10	167	94	754	GRID
100045	10	51	96	84	GRID
100046	10	87	95	92	GRID
100047	10	73	112	92	GRID
100048	10	51	119	82	GRID
100049	10	82	120	424	GRID
100050	10	105	101	92	GRID
100051	10	58	119	86	GRID
100052	10	76	104	94	GRID
100053	10	83	107	92	GRID
100054	10	69	108	422	GRID
100055	10	65	105	426	GRID
100056	10	66	103	92	GRID
100057	10	64	113	92	GRID
100058	10	51	118	86	GRID
100059	10	49	122	90	GRID
100060	10	56	116	416	GRID
100061	10	41	97	418	GRID
100062	10	82	93	92	GRID
100063	10	60	111	84	GRID
100064	10	99	116	426	GRID
100065	10	98	116	92	GRID
100066	10	64	121	94	GRID
100067	10	75	114	90	GRID
100068	10	97	120	92	GRID
100069	10	86	96	92	GRID
100070	10	153	101	422	GRID
100071	11	162	95	420	GRID
100072	10	96	96	94	GRID
100073	11	161	100	96	GRID
100074	10	96	111	426	GRID
100075	10	28	102	750	GRID
100076	10	60	106	84	GRID
100077	10	100	120	422	GRID
100078	10	101	112	92	GRID
100079	10	100	121	94	GRID
100080	10	23	108	418	GRID
100081	10	67	110	90	GRID
100082	10	41	107	752	GRID
100083	10	173	92	756	GRID
100084	10	173	111	90	GRID
100085	10	69	99	92	GRID
100086	10	74	110	94	GRID
100087	11	161	99	94	GRID
100088	11	171	100	92	GRID
100089	10	160	95	424	GRID
100090	10	172	102	422	GRID
100091	10	93	117	92	GRID
100092	11	161	94	422	GRID
100093	10	59	104	86	GRID
100094	11	184	115	92	GRID
100095	10	69	115	94	GRID
100096	11	168	92	424	GRID
100097	10	56	122	88	GRID
100098	11	108	92	90	GRID
100099	10	105	115	426	GRID
100100	10	78	98	86	GRID
100101	10	100	98	758	GRID
100102	10	171	106	754	GRID
100103	10	64	93	92	GRID
100104	10	74	98	88	GRID
100105	10	173	104	90	GRID
100106	10	72	103	424	GRID
100107	11	196	110	90	GRID
100108	11	179	92	92	GRID
100109	10	45	121	86	GRID
100110	10	90	122	92	GRID
100111	11	111	93	90	GRID
100112	11	162	106	92	GRID
100113	11	87	118	758	GRID
100114	10	42	105	420	GRID
100115	11	161	93	92	GRID
100116	11	176	96	422	GRID
100117	10	32	107	416	GRID
100118	10	105	116	94	GRID
100119	10	77	102	92	GRID
100120	10	93	92	90	GRID
100121	10	65	113	92	GRID
100122	10	36	111	82	GRID
100123	10	79	120	88	GRID
100124	10	48	93	84	GRID
100125	10	97	104	428	GRID
100126	10	71	107	426	GRID
