Bin,Content,X,Y,Depth,Mode,Type
100001,11,38,41,428,GRID,330mm
100002,11,6,42,760,GRID,330mm
100003,11,11,11,432,GRID,330mm
100004,11,13,27,1094,GRID,330mm
100005,11,39,32,760,GRID,330mm
100006,11,40,35,430,GRID,330mm
100007,11,11,26,760,GRID,330mm
100008,11,11,28,764,GRID,330mm
100009,11,7,18,430,GRID,330mm
100010,11,7,25,762,GRID,330mm
100011,11,15,32,432,GRID,330mm
100012,11,10,19,432,GRID,330mm
100013,11,7,15,1094,GRID,330mm
100014,11,6,14,762,GRID,330mm
100015,11,16,32,430,GRID,330mm
100016,11,19,25,762,GRID,330mm
100017,11,18,26,432,GRID,330mm
100018,11,41,37,430,GRID,330mm
100019,11,10,43,430,GRID,330mm
100020,11,23,25,428,GRID,330mm
100021,11,19,31,430,GRID,330mm
100022,11,22,39,428,GRID,330mm
100023,11,38,37,432,GRID,330mm
100024,11,10,25,430,GRID,330mm
100025,11,16,28,430,GRID,330mm
100026,11,29,29,430,GRID,330mm
100027,11,11,37,760,GRID,330mm
100028,11,38,25,432,GRID,330mm
100029,11,15,26,760,GRID,330mm
100030,11,7,23,430,GRID,330mm
100031,11,11,25,428,GRID,330mm
100032,11,27,21,428,GRID,330mm
100033,11,41,25,428,GRID,330mm
100034,11,7,25,430,GRID,330mm
100035,11,25,28,428,GRID,330mm
100036,11,25,36,1090,GRID,330mm
100037,11,33,27,430,GRID,330mm
100038,11,7,22,432,GRID,330mm
100039,11,7,29,430,GRID,330mm
100040,11,33,29,762,GRID,330mm
100041,11,10,23,428,GRID,330mm
100042,22,9,38,428,GRID,330mm
100043,11,15,32,762,GRID,330mm
100044,11,17,22,432,GRID,330mm
100045,11,13,26,100,TRANSIT,330mm
100046,11,6,18,430,GRID,330mm
100047,11,21,35,430,GRID,330mm
100048,11,15,27,430,GRID,330mm
100049,11,8,26,430,GRID,330mm
100050,11,17,20,430,GRID,330mm
100051,11,14,37,762,GRID,330mm
100052,11,7,23,760,GRID,330mm
100053,22,23,33,428,GRID,330mm
100054,11,6,25,430,GRID,330mm
100055,11,7,21,432,GRID,330mm
100056,10,36,28,762,GRID,330mm
100057,11,11,30,430,GRID,330mm
100058,11,7,35,430,GRID,330mm
100059,11,12,31,428,GRID,330mm
100060,11,19,12,100,TRANSIT,330mm
100061,10,8,9,100,TRANSIT,330mm
100062,10,15,26,432,TRANSIT,330mm
100063,10,11,20,760,TRANSIT,330mm
100064,22,16,40,428,GRID,330mm
100065,22,13,40,430,GRID,330mm
100066,22,23,36,430,GRID,330mm
100067,22,29,23,430,GRID,330mm
100068,22,21,41,428,GRID,330mm
100069,10,20,22,98,TRANSIT,330mm
100070,10,32,10,430,TRANSIT,330mm
100071,10,12,19,100,TRANSIT,330mm
100072,11,35,15,432,TRANSIT,330mm
100073,11,10,13,430,GRID,330mm
100074,10,19,27,430,TRANSIT,330mm
100075,11,18,31,760,GRID,330mm
100076,10,17,11,100,TRANSIT,330mm
100077,11,15,34,428,GRID,330mm
100078,10,36,34,98,TRANSIT,330mm
100079,22,8,10,764,GRID,330mm
100080,22,10,32,428,GRID,330mm
100081,11,34,10,426,GRID,330mm
100082,11,16,27,430,TRANSIT,330mm
100083,10,31,26,98,TRANSIT,330mm
100084,10,38,8,426,TRANSIT,330mm
100085,10,23,10,430,TRANSIT,330mm
100086,10,9,12,762,TRANSIT,330mm
100087,11,33,29,428,GRID,330mm
100088,10,21,10,430,TRANSIT,330mm
100089,11,8,28,1092,GRID,330mm
100090,10,29,24,430,TRANSIT,330mm
100091,10,17,21,102,TRANSIT,330mm
100092,10,39,33,96,TRANSIT,330mm
100093,11,19,16,430,TRANSIT,330mm
100094,11,18,18,430,TRANSIT,330mm
100095,11,31,14,100,TRANSIT,330mm
100096,10,24,43,96,TRANSIT,330mm
100097,10,18,42,96,TRANSIT,330mm
100098,10,41,27,96,TRANSIT,330mm
100099,11,24,34,428,GRID,330mm
100100,10,11,11,98,TRANSIT,330mm
100101,11,27,8,430,TRANSIT,330mm
100102,11,14,17,434,GRID,330mm
100103,10,35,12,426,TRANSIT,330mm
100104,10,24,18,100,TRANSIT,330mm
100105,11,14,19,764,GRID,330mm
100106,11,21,17,430,GRID,330mm
100107,11,14,15,434,GRID,330mm
100108,10,32,30,96,TRANSIT,330mm
100109,10,41,34,96,TRANSIT,330mm
100110,10,20,29,98,TRANSIT,330mm
100111,11,6,15,100,TRANSIT,330mm
100112,10,31,17,430,TRANSIT,330mm
100113,10,19,24,100,TRANSIT,330mm
100114,11,26,14,428,TRANSIT,330mm
100115,11,7,11,760,GRID,330mm
100116,11,26,30,760,TRANSIT,330mm
100117,11,13,13,764,GRID,330mm
100118,10,28,11,430,TRANSIT,330mm
100119,10,27,15,432,TRANSIT,330mm
100120,10,17,23,100,TRANSIT,330mm
100121,11,9,38,760,GRID,330mm
100122,10,36,32,96,TRANSIT,330mm
100123,10,8,19,430,TRANSIT,330mm
100124,10,15,14,430,TRANSIT,330mm
100125,10,20,23,100,TRANSIT,330mm
100126,10,6,34,98,TRANSIT,330mm
100127,22,26,34,432,GRID,330mm
100128,22,41,31,430,GRID,330mm
100129,22,16,31,762,GRID,330mm
100130,22,17,31,430,GRID,330mm
100131,10,27,17,430,TRANSIT,330mm
100132,22,8,28,760,GRID,330mm
100133,22,41,33,430,GRID,330mm
100134,22,14,29,430,GRID,330mm
100135,22,8,20,432,GRID,330mm
100136,22,6,29,2754,GRID,330mm
100137,22,6,29,2090,GRID,330mm
100138,22,15,17,434,GRID,330mm
100139,22,27,36,430,GRID,330mm
100140,22,15,24,762,GRID,330mm
100141,22,14,30,430,GRID,330mm
100142,22,30,32,428,GRID,330mm
100143,22,11,18,432,GRID,330mm
100144,22,6,29,2420,GRID,330mm
100145,22,40,27,430,GRID,330mm
100146,22,36,28,1094,GRID,330mm
100147,22,8,25,430,GRID,330mm
100148,22,16,24,428,GRID,330mm
100149,22,17,20,766,GRID,330mm
100150,22,12,40,428,GRID,330mm
100151,22,23,39,428,GRID,330mm
100152,22,7,42,432,GRID,330mm
100153,22,11,33,430,GRID,330mm
100154,22,16,8,432,GRID,330mm
100155,22,34,43,428,GRID,330mm
100156,22,27,34,430,GRID,330mm
100157,22,9,11,762,GRID,330mm
100158,22,12,25,428,GRID,330mm
100159,22,9,27,430,GRID,330mm
100160,22,37,31,762,GRID,330mm
100161,22,28,22,432,GRID,330mm
100162,22,10,8,430,GRID,330mm
100163,22,17,25,430,GRID,330mm
100164,22,14,37,428,GRID,330mm
100165,22,15,22,430,GRID,330mm
100166,22,20,30,430,GRID,330mm
100167,22,34,32,428,GRID,330mm
100168,22,19,15,434,GRID,330mm
100169,22,16,28,762,GRID,330mm
100170,22,10,32,762,GRID,330mm
100171,22,8,14,434,GRID,330mm
100172,22,6,29,430,GRID,330mm
100173,22,33,36,428,GRID,330mm
100174,22,15,13,766,GRID,330mm
100175,22,17,32,428,GRID,330mm
100176,22,17,24,430,GRID,330mm
100177,22,18,31,428,GRID,330mm
100178,22,36,36,432,GRID,330mm
100179,22,26,43,428,GRID,330mm
100180,22,16,26,764,GRID,330mm
100181,22,13,27,762,GRID,330mm
100182,22,8,38,428,GRID,330mm
100183,22,18,19,432,GRID,330mm
100184,22,37,30,760,GRID,330mm
100185,22,16,31,430,GRID,330mm
100186,22,21,40,430,GRID,330mm
100187,22,12,23,430,GRID,330mm
100188,22,27,18,432,GRID,330mm
100189,10,24,16,432,TRANSIT,330mm
100190,10,30,36,96,TRANSIT,330mm
100191,10,30,14,430,TRANSIT,330mm
100192,22,24,17,430,GRID,330mm
100193,22,7,9,432,GRID,330mm
100194,22,34,33,430,GRID,330mm
100195,22,7,27,432,GRID,330mm
100196,11,22,12,430,TRANSIT,330mm
100197,10,24,31,100,TRANSIT,330mm
100198,10,31,19,98,TRANSIT,330mm
100199,10,34,29,100,TRANSIT,330mm
100200,10,34,14,98,TRANSIT,330mm
100201,10,30,31,96,TRANSIT,330mm
100202,10,32,9,428,TRANSIT,330mm
100203,10,41,34,428,TRANSIT,330mm
100204,10,26,17,430,TRANSIT,330mm
100205,10,24,13,430,TRANSIT,330mm
100206,10,41,27,428,TRANSIT,330mm
100207,10,39,34,430,TRANSIT,330mm
100208,10,20,17,434,GRID,330mm
100209,11,13,28,430,GRID,330mm
100210,11,6,23,430,GRID,330mm
100211,11,11,14,432,GRID,330mm
100212,11,16,28,1424,GRID,330mm
100213,11,12,17,432,GRID,330mm
100214,11,16,28,1092,GRID,330mm
100215,10,16,35,4762,GRID,330mm
100216,10,38,11,756,GRID,330mm
100217,10,37,23,98,GRID,330mm
100218,10,40,25,760,GRID,330mm
100219,10,39,24,100,GRID,330mm
100220,10,35,24,762,GRID,330mm
100221,22,18,27,432,GRID,330mm
